Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;RunNumber;Length;ComputationTime(s)
ALPHA;0,0010;1;11274,00;4,985
ALPHA;0,0010;2;11514,00;4,992

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

P_0;0,0100;8;11894,00;2,570
P_0;0,0100;9;12045,00;2,529
P_0;0,0100;10;12077,00;2,582
P_0;0,0250;1;12455,00;2,513
P_0;0,0250;2;11639,00;2,647
P_0;0,0250;3;11894,00;2,644
P_0;0,0250;4;11627,00;2,738
P_0;0,0250;5;11894,00;2,576
P_0;0,0250;6;11894,00;3,296
P_0;0,0250;7;11894,00;3,060
P_0;0,0250;8;11627,00;2,521
P_0;0,0250;9;11861,00;2,615
P_0;0,0250;10;11894,00;2,621
P_0;0,0500;1;11894,00;2,698
P_0;0,0500;2;11894,00;2,762
P_0;0,0500;3;11526,00;2,725
P_0;0,0500;4;11861,00;2,745
P_0;0,0500;5;11894,00;2,746
P_0;0,0500;6;11894,00;2,616
P_0;0,0500;7;11481,00;2,777
P_0;0,0500;8;11627,00;2,751
P_0;0,0500;9;11894,00;2,680
P_0;0,0500;10;11514,00;2,900
P_0;0,1000;1;11485,00;2,660
P_0;0,1000;2;11485,00;2,813
P_0;0,1000;3;11526,00;2,836
P_0;0,1000;4;11319,00;2,936
P_0;0,1000;5;11627,00;2,799
P_0;0,1000;6;11481,00;2,923
P_0;0,1000;7;11556,00;3,035
P_0;0,1000;8;11319,00;3,302
P_0;0,1000;9;11274,00;2,896
P_0;0,1000;10;11622,00;2,588
P_0;0,2000;1;11406,00;2,823
P_0;0,2000;2;11526,00;2,536
P_0;0,2000;3;12045,00;2,795
P_0;0,2000;4;11861,00;2,982
P_0;0,2000;5;12045,00;2,657
P_0;0,2000;6;11232,00;3,059
P_0;0,2000;7;12077,00;2,802
P_0;0,2000;8;12025,00;3,020
P_0;0,2000;9;12040,00;3,001
P_0;0,2000;10;12285,00;2,807
P_0;0,3000;1;11870,00;3,053
P_0;0,3000;2;12038,00;2,776
P_0;0,3000;3;12691,00;2,803
P_0;0,3000;4;12642,00;2,658
P_0;0,3000;5;12737,00;2,645
P_0;0,3000;6;12396,00;2,628
P_0;0,3000;7;12614,00;2,716
P_0;0,3000;8;12022,00;2,631
P_0;0,3000;9;12835,00;2,742
P_0;0,3000;10;12567,00;2,609
NUM_ANTS;20;1;11627,00;2,646
NUM_ANTS;20;2;11894,00;1,324
NUM_ANTS;20;3;11485,00;1,345
NUM_ANTS;20;4;11894,00;1,308
NUM_ANTS;20;5;11748,00;1,272
NUM_ANTS;20;6;11485,00;1,285
NUM_ANTS;20;7;12045,00;1,377
NUM_ANTS;20;8;11526,00;1,288
NUM_ANTS;20;9;11481,00;1,299
NUM_ANTS;20;10;12045,00;1,280
NUM_ANTS;30;1;11597,00;1,456
NUM_ANTS;30;2;11627,00;1,940
NUM_ANTS;30;3;12045,00;1,910
NUM_ANTS;30;4;11319,00;1,954
NUM_ANTS;30;5;11737,00;1,924
NUM_ANTS;30;6;11523,00;2,065
NUM_ANTS;30;7;11894,00;1,977
NUM_ANTS;30;8;11894,00;1,970
NUM_ANTS;30;9;11993,00;2,055
NUM_ANTS;30;10;11573,00;1,932
NUM_ANTS;40;1;11526,00;2,086
NUM_ANTS;40;2;11319,00;2,549
NUM_ANTS;40;3;11243,00;2,658
NUM_ANTS;40;4;11894,00;2,557
NUM_ANTS;40;5;11319,00;2,603
NUM_ANTS;40;6;11481,00;2,484
NUM_ANTS;40;7;11481,00;2,841
NUM_ANTS;40;8;11526,00;2,906
NUM_ANTS;40;9;11894,00;2,873
NUM_ANTS;40;10;11526,00;3,134
NUM_ANTS;50;1;11861,00;2,664
NUM_ANTS;50;2;11894,00;3,262
NUM_ANTS;50;3;10897,00;3,421
NUM_ANTS;50;4;11319,00;3,462
NUM_ANTS;50;5;11311,00;3,390
NUM_ANTS;50;6;11481,00;3,430
NUM_ANTS;50;7;11446,00;3,772
NUM_ANTS;50;8;11559,00;3,484
NUM_ANTS;50;9;11627,00;3,394
NUM_ANTS;50;10;11485,00;3,498
NUM_ANTS;75;1;11146,00;3,576
NUM_ANTS;75;2;11597,00;5,323
NUM_ANTS;75;3;11514,00;5,220
NUM_ANTS;75;4;11319,00;5,401
NUM_ANTS;75;5;11319,00;5,113
NUM_ANTS;75;6;11319,00;5,013
NUM_ANTS;75;7;11597,00;4,931
NUM_ANTS;75;8;11456,00;4,901
NUM_ANTS;75;9;10715,00;4,982
NUM_ANTS;75;10;11319,00;4,878
NUM_ANTS;100;1;11416,00;4,995
NUM_ANTS;100;2;11526,00;6,660
NUM_ANTS;100;3;11311,00;6,827
NUM_ANTS;100;4;11411,00;7,005
NUM_ANTS;100;5;11319,00;8,229
NUM_ANTS;100;6;11243,00;7,226
NUM_ANTS;100;7;11485,00;7,034
NUM_ANTS;100;8;11481,00;6,777
NUM_ANTS;100;9;11861,00;6,603
NUM_ANTS;100;10;11526,00;7,405
Q;10,0000;1;11514,00;5,527
Q;10,0000;2;11796,00;5,217
Q;10,0000;3;11281,00;4,880
Q;10,0000;4;11526,00;5,091
Q;10,0000;5;11627,00;5,176
Q;10,0000;6;11796,00;5,276
Q;10,0000;7;11481,00;5,055
Q;10,0000;8;11481,00;5,065
Q;10,0000;9;11514,00;5,430
Q;10,0000;10;11481,00;4,893
Q;50,0000;1;10495,00;5,079
Q;50,0000;2;11530,00;5,290
Q;50,0000;3;11485,00;5,118
Q;50,0000;4;11485,00;4,902
Q;50,0000;5;11481,00;5,334
Q;50,0000;6;11319,00;5,327
Q;50,0000;7;11386,00;5,259
Q;50,0000;8;11747,00;5,432
Q;50,0000;9;11481,00;5,233
Q;50,0000;10;11319,00;5,148
Q;100,0000;1;11327,00;5,247
Q;100,0000;2;11568,00;5,161
Q;100,0000;3;11426,00;5,170
Q;100,0000;4;10473,00;5,308
Q;100,0000;5;11514,00;5,211
Q;100,0000;6;11514,00;5,975
Q;100,0000;7;11406,00;5,318
Q;100,0000;8;11526,00;4,974
Q;100,0000;9;11319,00;6,047
Q;100,0000;10;11319,00;5,049
Q;500,0000;1;11597,00;4,966
Q;500,0000;2;11386,00;4,892
Q;500,0000;3;11156,00;4,907
Q;500,0000;4;11597,00;4,947
Q;500,0000;5;11894,00;4,974
Q;500,0000;6;11526,00;5,872
Q;500,0000;7;11481,00;5,452
Q;500,0000;8;11319,00;6,396
Q;500,0000;9;11481,00;5,560
Q;500,0000;10;11597,00;5,394
Q;750,0000;1;11313,00;5,698
Q;750,0000;2;11481,00;5,059
Q;750,0000;3;11319,00;4,967
Q;750,0000;4;11597,00;4,904
Q;750,0000;5;11514,00;5,447
Q;750,0000;6;11894,00;5,325
Q;750,0000;7;11281,00;5,197
Q;750,0000;8;11481,00;4,902
Q;750,0000;9;11243,00;4,810
Q;750,0000;10;11319,00;4,983
Q;1000,0000;1;11485,00;4,850
Q;1000,0000;2;11526,00;4,954
Q;1000,0000;3;11319,00;4,957
Q;1000,0000;4;11319,00;4,927
Q;1000,0000;5;11424,00;4,989
Q;1000,0000;6;11481,00;4,927
Q;1000,0000;7;11481,00;6,317
Q;1000,0000;8;11274,00;5,695
Q;1000,0000;9;11481,00;5,256
Q;1000,0000;10;11894,00;5,103
RHO;0,1000;1;11497,00;5,107
RHO;0,1000;2;11526,00;4,866
RHO;0,1000;3;11319,00;5,103
RHO;0,1000;4;11485,00;5,265
RHO;0,1000;5;11497,00;5,218
RHO;0,1000;6;11844,00;4,814
RHO;0,1000;7;11319,00;4,739
RHO;0,1000;8;11622,00;4,947
RHO;0,1000;9;11622,00;4,987
RHO;0,1000;10;11793,00;4,959
RHO;0,3000;1;11514,00;4,926
RHO;0,3000;2;11319,00;4,853
RHO;0,3000;3;11622,00;5,082
RHO;0,3000;4;11076,00;5,039
RHO;0,3000;5;11514,00;4,836
RHO;0,3000;6;11514,00;5,331
RHO;0,3000;7;11406,00;4,938
RHO;0,3000;8;11319,00;4,979
RHO;0,3000;9;11456,00;4,922
RHO;0,3000;10;11796,00;5,076
RHO;0,5000;1;11597,00;5,053
RHO;0,5000;2;11597,00;5,071
RHO;0,5000;3;11795,00;5,173
RHO;0,5000;4;11514,00;5,162
RHO;0,5000;5;11303,00;5,114
RHO;0,5000;6;10892,00;4,744
RHO;0,5000;7;11627,00;5,089
RHO;0,5000;8;11319,00;5,434
RHO;0,5000;9;11319,00;5,366
RHO;0,5000;10;11894,00;4,952
RHO;0,7000;1;11426,00;4,945
RHO;0,7000;2;11514,00;5,662
RHO;0,7000;3;11448,00;5,189
RHO;0,7000;4;11232,00;5,156
RHO;0,7000;5;11514,00;4,981
RHO;0,7000;6;11076,00;4,985
RHO;0,7000;7;11481,00;5,124
RHO;0,7000;8;11239,00;4,929
RHO;0,7000;9;11485,00;4,933
RHO;0,7000;10;11485,00;4,955
RHO;0,8000;1;11319,00;4,927
RHO;0,8000;2;11787,00;5,063
RHO;0,8000;3;11481,00;4,867
RHO;0,8000;4;11597,00;4,987
RHO;0,8000;5;11496,00;5,011
RHO;0,8000;6;11485,00;5,074
RHO;0,8000;7;11411,00;4,852
RHO;0,8000;8;10517,00;4,902
RHO;0,8000;9;11597,00;5,101
RHO;0,8000;10;11481,00;4,971
RHO;0,8500;1;11415,00;5,371
RHO;0,8500;2;11894,00;5,361
RHO;0,8500;3;11622,00;4,941
RHO;0,8500;4;11319,00;5,256
RHO;0,8500;5;11526,00;5,250
RHO;0,8500;6;11485,00;5,228
RHO;0,8500;7;11597,00;5,382
RHO;0,8500;8;11486,00;5,343
RHO;0,8500;9;11485,00;5,409
RHO;0,8500;10;11319,00;4,845
RHO;0,9000;1;11485,00;5,291
RHO;0,9000;2;11622,00;5,483
RHO;0,9000;3;11481,00;5,473
RHO;0,9000;4;11574,00;5,565
RHO;0,9000;5;11894,00;6,001
RHO;0,9000;6;11514,00;6,646
RHO;0,9000;7;11627,00;6,087
RHO;0,9000;8;11796,00;6,310
RHO;0,9000;9;11894,00;6,256
RHO;0,9000;10;11481,00;6,503
TAU_0;0,0000;1;11481,00;7,302
TAU_0;0,0000;2;11319,00;5,848
TAU_0;0,0000;3;11319,00;6,568
TAU_0;0,0000;4;11526,00;5,952
TAU_0;0,0000;5;11319,00;6,071
TAU_0;0,0000;6;11556,00;6,508
TAU_0;0,0000;7;11627,00;6,416
TAU_0;0,0000;8;11485,00;5,899
TAU_0;0,0000;9;11619,00;6,602
TAU_0;0,0000;10;11319,00;6,123
TAU_0;0,0001;1;11796,00;5,454
TAU_0;0,0001;2;11319,00;5,758
TAU_0;0,0001;3;11281,00;4,953
TAU_0;0,0001;4;11485,00;5,096
TAU_0;0,0001;5;11481,00;5,184
TAU_0;0,0001;6;11560,00;4,920
TAU_0;0,0001;7;11514,00;5,029
TAU_0;0,0001;8;11481,00;5,433
TAU_0;0,0001;9;11485,00;5,109
TAU_0;0,0001;10;11526,00;5,680
TAU_0;0,0010;1;11481,00;7,149
TAU_0;0,0010;2;11303,00;6,517
TAU_0;0,0010;3;11526,00;5,177
TAU_0;0,0010;4;11050,00;5,100
TAU_0;0,0010;5;11226,00;5,278
TAU_0;0,0010;6;11481,00;4,915
TAU_0;0,0010;7;11411,00;4,958
TAU_0;0,0010;8;11319,00;5,228
TAU_0;0,0010;9;11627,00;5,072
TAU_0;0,0010;10;11481,00;5,068
TAU_0;0,0100;1;11485,00;5,047
TAU_0;0,0100;2;11514,00;5,284
TAU_0;0,0100;3;11386,00;5,457
TAU_0;0,0100;4;11274,00;5,645
TAU_0;0,0100;5;11226,00;5,339
TAU_0;0,0100;6;11560,00;5,135
TAU_0;0,0100;7;11146,00;5,083
TAU_0;0,0100;8;11481,00;5,107
TAU_0;0,0100;9;11787,00;4,949
TAU_0;0,0100;10;11319,00;4,953
TAU_0;0,1000;1;11894,00;5,020
TAU_0;0,1000;2;11467,00;4,906
TAU_0;0,1000;3;11485,00;5,125
TAU_0;0,1000;4;11076,00;5,638
TAU_0;0,1000;5;11514,00;5,259
TAU_0;0,1000;6;10689,00;5,000
TAU_0;0,1000;7;11485,00;5,255
TAU_0;0,1000;8;11481,00;4,987
TAU_0;0,1000;9;11795,00;5,376
TAU_0;0,1000;10;11257,00;5,209
TAU_0;0,5000;1;11622,00;5,333
TAU_0;0,5000;2;11861,00;5,089
TAU_0;0,5000;3;11481,00;5,011
TAU_0;0,5000;4;11560,00;4,931
TAU_0;0,5000;5;11481,00;5,032
TAU_0;0,5000;6;11514,00;5,675
TAU_0;0,5000;7;11232,00;5,201
TAU_0;0,5000;8;11298,00;4,961
TAU_0;0,5000;9;11319,00;5,376
TAU_0;0,5000;10;11526,00;4,766
TAU_0;1,0000;1;11485,00;4,974
TAU_0;1,0000;2;11627,00;5,002
TAU_0;1,0000;3;11485,00;5,125
TAU_0;1,0000;4;11597,00;5,211
TAU_0;1,0000;5;11319,00;5,882
TAU_0;1,0000;6;11755,00;5,485
TAU_0;1,0000;7;11514,00;5,152
TAU_0;1,0000;8;11481,00;5,189
TAU_0;1,0000;9;11319,00;5,024
TAU_0;1,0000;10;11481,00;5,174

=== New Experiment ===
Started: 2025-03-26 19:16:16
Initial parameters:
ALPHA=1,5000;BETA=1,0000;RHO=0,7000;Q=100,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

ALPHA;0,0010;1;11281,00;5,252
ALPHA;0,0010;2;11526,00;4,802
ALPHA;0,0010;3;11426,00;4,565
ALPHA;0,0010;4;11485,00;5,770
ALPHA;0,0010;5;11868,00;5,931
ALPHA;0,0010;6;11622,00;5,577
ALPHA;0,0010;7;11627,00;5,832
ALPHA;0,0010;8;11481,00;6,008
ALPHA;0,0010;9;11319,00;5,971
ALPHA;0,0010;10;11853,00;6,076
ALPHA;0,0100;1;11319,00;5,772
ALPHA;0,0100;2;11481,00;4,771
ALPHA;0,0100;3;11481,00;4,732
ALPHA;0,0100;4;11319,00;4,828
ALPHA;0,0100;5;11597,00;4,664
ALPHA;0,0100;6;11485,00;5,305
ALPHA;0,0100;7;11485,00;5,607
ALPHA;0,0100;8;11319,00;4,652
ALPHA;0,0100;9;11319,00;4,511
ALPHA;0,0100;10;11526,00;4,614
ALPHA;0,1000;1;11861,00;4,455
ALPHA;0,1000;2;11274,00;4,420
ALPHA;0,1000;3;11597,00;5,380
ALPHA;0,1000;4;11751,00;4,450
ALPHA;0,1000;5;11674,00;4,411
ALPHA;0,1000;6;11485,00;4,472
ALPHA;0,1000;7;11861,00;4,353
ALPHA;0,1000;8;11891,00;4,364
ALPHA;0,1000;9;11485,00;4,406
ALPHA;0,1000;10;11514,00;4,451
ALPHA;0,5000;1;11894,00;4,447
ALPHA;0,5000;2;11485,00;4,236
ALPHA;0,5000;3;11514,00;4,754
ALPHA;0,5000;4;11366,00;4,591
ALPHA;0,5000;5;11456,00;4,190
ALPHA;0,5000;6;11319,00;4,228
ALPHA;0,5000;7;11514,00;4,404
ALPHA;0,5000;8;11627,00;4,225
ALPHA;0,5000;9;11853,00;4,328
ALPHA;0,5000;10;11406,00;4,300
ALPHA;1,0000;1;11481,00;4,278
ALPHA;1,0000;2;11485,00;4,316
ALPHA;1,0000;3;10934,00;4,392
ALPHA;1,0000;4;10715,00;5,594
ALPHA;1,0000;5;11514,00;5,943
ALPHA;1,0000;6;11076,00;6,112
ALPHA;1,0000;7;11481,00;5,820
ALPHA;1,0000;8;11303,00;4,820
ALPHA;1,0000;9;11526,00;5,014
ALPHA;1,0000;10;11622,00;5,381
ALPHA;1,5000;1;10517,00;7,197
ALPHA;1,5000;2;11526,00;6,719
ALPHA;1,5000;3;11281,00;5,903
ALPHA;1,5000;4;11622,00;6,185
ALPHA;1,5000;5;11514,00;4,924
ALPHA;1,5000;6;11530,00;5,286
ALPHA;1,5000;7;11319,00;5,891
ALPHA;1,5000;8;11303,00;5,899
ALPHA;1,5000;9;11485,00;6,070
ALPHA;1,5000;10;11894,00;5,265
BETA;1,0000;1;11485,00;5,878
BETA;1,0000;2;11481,00;5,736
BETA;1,0000;3;11597,00;5,759
BETA;1,0000;4;11485,00;5,847
BETA;1,0000;5;11767,00;5,806
BETA;1,0000;6;11781,00;5,914
BETA;1,0000;7;11319,00;5,785
BETA;1,0000;8;11894,00;4,709
BETA;1,0000;9;11319,00;5,591
BETA;1,0000;10;11597,00;5,851
BETA;1,5000;1;11467,00;5,819
BETA;1,5000;2;11319,00;5,653
BETA;1,5000;3;11796,00;5,741
BETA;1,5000;4;11319,00;5,704
BETA;1,5000;5;11319,00;5,677
BETA;1,5000;6;11319,00;5,795
BETA;1,5000;7;11526,00;5,932
BETA;1,5000;8;11411,00;5,700
BETA;1,5000;9;11526,00;5,734
BETA;1,5000;10;11319,00;5,795
BETA;2,0000;1;11639,00;5,670
BETA;2,0000;2;10738,00;5,322
BETA;2,0000;3;11319,00;5,447
BETA;2,0000;4;11526,00;5,445
BETA;2,0000;5;11894,00;5,357
BETA;2,0000;6;11879,00;5,333
BETA;2,0000;7;11319,00;5,300
BETA;2,0000;8;11526,00;5,399
BETA;2,0000;9;11319,00;5,653
BETA;2,0000;10;11526,00;5,584
BETA;3,0000;1;11485,00;5,707
BETA;3,0000;2;11526,00;5,714
BETA;3,0000;3;11319,00;5,767
BETA;3,0000;4;10495,00;5,670
BETA;3,0000;5;11481,00;6,083
BETA;3,0000;6;11481,00;5,930
BETA;3,0000;7;11526,00;5,810
BETA;3,0000;8;11526,00;5,488
BETA;3,0000;9;11319,00;4,824
BETA;3,0000;10;11485,00;6,359
BETA;4,0000;1;11597,00;5,802
BETA;4,0000;2;11514,00;6,011
BETA;4,0000;3;11481,00;5,548
BETA;4,0000;4;11526,00;6,475
BETA;4,0000;5;11485,00;5,870
BETA;4,0000;6;11622,00;5,867
BETA;4,0000;7;11319,00;5,190
BETA;4,0000;8;11733,00;4,628
BETA;4,0000;9;11481,00;4,566
BETA;4,0000;10;11514,00;4,627
BETA;5,0000;1;11796,00;4,708
BETA;5,0000;2;11481,00;4,589
BETA;5,0000;3;11485,00;4,685
BETA;5,0000;4;11526,00;4,822
BETA;5,0000;5;11281,00;5,095
BETA;5,0000;6;11319,00;4,573
BETA;5,0000;7;11514,00;4,695
BETA;5,0000;8;11481,00;4,852
BETA;5,0000;9;11796,00;4,587
BETA;5,0000;10;11319,00;4,605
NUM_ANTS;20;1;11319,00;4,567
NUM_ANTS;20;2;12045,00;1,361
NUM_ANTS;20;3;11485,00;1,218
NUM_ANTS;20;4;11622,00;1,276
NUM_ANTS;20;5;11481,00;1,191
NUM_ANTS;20;6;11456,00;1,312
NUM_ANTS;20;7;11891,00;1,188
NUM_ANTS;20;8;11894,00;1,173
NUM_ANTS;20;9;11894,00;1,262
NUM_ANTS;20;10;12077,00;1,264
NUM_ANTS;30;1;12045,00;1,205
NUM_ANTS;30;2;11618,00;1,858
NUM_ANTS;30;3;11748,00;1,938
NUM_ANTS;30;4;11560,00;1,972
NUM_ANTS;30;5;11674,00;1,925
NUM_ANTS;30;6;11392,00;1,830
NUM_ANTS;30;7;11891,00;1,762
NUM_ANTS;30;8;11894,00;1,938
NUM_ANTS;30;9;11894,00;1,787
NUM_ANTS;30;10;11319,00;1,712
NUM_ANTS;40;1;11319,00;1,968
NUM_ANTS;40;2;11894,00;2,458
NUM_ANTS;40;3;11485,00;2,489
NUM_ANTS;40;4;11526,00;2,275
NUM_ANTS;40;5;11597,00;3,139
NUM_ANTS;40;6;11933,00;2,663
NUM_ANTS;40;7;11894,00;2,584
NUM_ANTS;40;8;11714,00;2,349
NUM_ANTS;40;9;11894,00;2,559
NUM_ANTS;40;10;11894,00;2,324
NUM_ANTS;50;1;11655,00;2,532
NUM_ANTS;50;2;11894,00;2,860
NUM_ANTS;50;3;11526,00;3,138
NUM_ANTS;50;4;11796,00;2,996
NUM_ANTS;50;5;11485,00;3,148
NUM_ANTS;50;6;11327,00;3,124
NUM_ANTS;50;7;11597,00;2,910
NUM_ANTS;50;8;11481,00;3,227
NUM_ANTS;50;9;11622,00;3,010
NUM_ANTS;50;10;11514,00;3,013
NUM_ANTS;75;1;11627,00;3,131
NUM_ANTS;75;2;11597,00;4,626
NUM_ANTS;75;3;11894,00;4,527
NUM_ANTS;75;4;11627,00;4,530
NUM_ANTS;75;5;11740,00;5,058
NUM_ANTS;75;6;11568,00;4,867
NUM_ANTS;75;7;11442,00;4,583
NUM_ANTS;75;8;11622,00;4,560
NUM_ANTS;75;9;11560,00;4,548
NUM_ANTS;75;10;11627,00;4,488
NUM_ANTS;100;1;11514,00;4,604
NUM_ANTS;100;2;11796,00;6,103
NUM_ANTS;100;3;11514,00;6,155
NUM_ANTS;100;4;11386,00;6,182
NUM_ANTS;100;5;11514,00;5,927
NUM_ANTS;100;6;10473,00;6,056
NUM_ANTS;100;7;11380,00;5,972
NUM_ANTS;100;8;11456,00;6,500
NUM_ANTS;100;9;11319,00;6,851
NUM_ANTS;100;10;11319,00;6,171
Q;10,0000;1;11481,00;6,111
Q;10,0000;2;11514,00;6,851
Q;10,0000;3;11274,00;7,404
Q;10,0000;4;11597,00;6,124
Q;10,0000;5;11514,00;6,198
Q;10,0000;6;11319,00;6,016
Q;10,0000;7;11891,00;6,060
Q;10,0000;8;11019,00;6,033
Q;10,0000;9;11319,00;6,710
Q;10,0000;10;11597,00;6,271
Q;50,0000;1;11319,00;6,135
Q;50,0000;2;11627,00;6,029
Q;50,0000;3;11485,00;6,111
Q;50,0000;4;11514,00;5,997
Q;50,0000;5;11319,00;5,963
Q;50,0000;6;11597,00;6,616
Q;50,0000;7;11319,00;6,414
Q;50,0000;8;11319,00;6,027
Q;50,0000;9;11076,00;6,075
Q;50,0000;10;11861,00;6,132
Q;100,0000;1;11526,00;6,278
Q;100,0000;2;11485,00;6,986
Q;100,0000;3;11485,00;6,009
Q;100,0000;4;11485,00;5,967
Q;100,0000;5;11447,00;6,070
Q;100,0000;6;11243,00;5,992
Q;100,0000;7;11485,00;5,950
Q;100,0000;8;11597,00;5,957
Q;100,0000;9;11481,00;6,018
Q;100,0000;10;11380,00;6,699
Q;500,0000;1;11597,00;6,522
Q;500,0000;2;11485,00;5,970
Q;500,0000;3;11319,00;6,013
Q;500,0000;4;11481,00;6,055
Q;500,0000;5;11526,00;6,073
Q;500,0000;6;11420,00;6,043
Q;500,0000;7;11627,00;6,062
Q;500,0000;8;11485,00;6,050
Q;500,0000;9;11243,00;6,062
Q;500,0000;10;11076,00;6,070
Q;750,0000;1;11426,00;6,121
Q;750,0000;2;11526,00;6,058
Q;750,0000;3;11481,00;6,018
Q;750,0000;4;11410,00;6,053
Q;750,0000;5;11481,00;6,111
Q;750,0000;6;11514,00;6,019
Q;750,0000;7;11319,00;5,971
Q;750,0000;8;11482,00;6,082
Q;750,0000;9;11303,00;5,993
Q;750,0000;10;11319,00;6,187
Q;1000,0000;1;11319,00;6,017
Q;1000,0000;2;11481,00;6,072
Q;1000,0000;3;11530,00;6,129
Q;1000,0000;4;11481,00;6,109
Q;1000,0000;5;11481,00;6,019
Q;1000,0000;6;11275,00;6,085
Q;1000,0000;7;11426,00;6,026
Q;1000,0000;8;11530,00;6,087
Q;1000,0000;9;11481,00;6,005
Q;1000,0000;10;11303,00;6,176
RHO;0,1000;1;11232,00;5,985
RHO;0,1000;2;11526,00;6,060
RHO;0,1000;3;11481,00;6,103
RHO;0,1000;4;11481,00;6,008
RHO;0,1000;5;11862,00;6,033
RHO;0,1000;6;11319,00;6,044
RHO;0,1000;7;11319,00;6,096
RHO;0,1000;8;11481,00;6,027
RHO;0,1000;9;11345,00;5,998
RHO;0,1000;10;11303,00;6,160
RHO;0,3000;1;11319,00;7,026
RHO;0,3000;2;11319,00;5,982
RHO;0,3000;3;11485,00;5,966
RHO;0,3000;4;11894,00;5,932
RHO;0,3000;5;11481,00;5,990
RHO;0,3000;6;11485,00;6,079
RHO;0,3000;7;11481,00;5,978
RHO;0,3000;8;11526,00;5,984
RHO;0,3000;9;11319,00;5,951
RHO;0,3000;10;11319,00;6,286
RHO;0,5000;1;11319,00;6,068
RHO;0,5000;2;11796,00;6,909
RHO;0,5000;3;11622,00;5,970
RHO;0,5000;4;11526,00;6,013
RHO;0,5000;5;11597,00;6,094
RHO;0,5000;6;11274,00;6,071
RHO;0,5000;7;11303,00;6,155
RHO;0,5000;8;11174,00;6,096
RHO;0,5000;9;11526,00;5,916
RHO;0,5000;10;11514,00;6,328
RHO;0,7000;1;11597,00;6,044
RHO;0,7000;2;11411,00;6,448
RHO;0,7000;3;11319,00;6,337
RHO;0,7000;4;11174,00;6,067
RHO;0,7000;5;11319,00;5,969
RHO;0,7000;6;11861,00;6,027
RHO;0,7000;7;11481,00;5,988
RHO;0,7000;8;11128,00;6,005
RHO;0,7000;9;11513,00;6,058
RHO;0,7000;10;11485,00;6,150
RHO;0,8000;1;11319,00;6,104
RHO;0,8000;2;11514,00;5,923
RHO;0,8000;3;11530,00;6,119
RHO;0,8000;4;11319,00;6,867
RHO;0,8000;5;11514,00;6,107
RHO;0,8000;6;11319,00;6,198
RHO;0,8000;7;11446,00;6,053
RHO;0,8000;8;11622,00;6,054
RHO;0,8000;9;11319,00;6,162
RHO;0,8000;10;11622,00;6,011
RHO;0,8500;1;11311,00;5,981
RHO;0,8500;2;11622,00;6,107
RHO;0,8500;3;11752,00;5,986
RHO;0,8500;4;11485,00;6,333
RHO;0,8500;5;11281,00;6,920
RHO;0,8500;6;11485,00;6,151
RHO;0,8500;7;11481,00;6,044
RHO;0,8500;8;11622,00;5,971
RHO;0,8500;9;11481,00;6,390
RHO;0,8500;10;11861,00;6,058
RHO;0,9000;1;11627,00;6,017
RHO;0,9000;2;11319,00;5,982
RHO;0,9000;3;11456,00;5,950
RHO;0,9000;4;11466,00;5,968
RHO;0,9000;5;11485,00;6,016
RHO;0,9000;6;11560,00;6,601
RHO;0,9000;7;11319,00;6,352
RHO;0,9000;8;11481,00;5,988
RHO;0,9000;9;11319,00;6,134
RHO;0,9000;10;11481,00;6,412
TAU_0;0,0000;1;11076,00;6,682
TAU_0;0,0000;2;11597,00;5,954
TAU_0;0,0000;3;11319,00;6,033
TAU_0;0,0000;4;11627,00;6,025
TAU_0;0,0000;5;11319,00;6,046
TAU_0;0,0000;6;11481,00;5,989
TAU_0;0,0000;7;11526,00;7,013
TAU_0;0,0000;8;11274,00;6,069
TAU_0;0,0000;9;11597,00;6,229
TAU_0;0,0000;10;11514,00;6,045
TAU_0;0,0001;1;11319,00;6,018
TAU_0;0,0001;2;11424,00;6,164
TAU_0;0,0001;3;11526,00;5,997
TAU_0;0,0001;4;10807,00;5,977
TAU_0;0,0001;5;11319,00;6,026
TAU_0;0,0001;6;11481,00;6,071
TAU_0;0,0001;7;11481,00;6,078
TAU_0;0,0001;8;11406,00;7,084
TAU_0;0,0001;9;11514,00;6,068
TAU_0;0,0001;10;11076,00;6,929
TAU_0;0,0010;1;11413,00;6,609
TAU_0;0,0010;2;11293,00;6,043
TAU_0;0,0010;3;11481,00;6,006
TAU_0;0,0010;4;11514,00;6,160
TAU_0;0,0010;5;11319,00;6,101
TAU_0;0,0010;6;11406,00;6,036
TAU_0;0,0010;7;11361,00;5,995
TAU_0;0,0010;8;11514,00;7,089
TAU_0;0,0010;9;11319,00;6,016
TAU_0;0,0010;10;11514,00;5,921
TAU_0;0,0100;1;11319,00;6,015
TAU_0;0,0100;2;11232,00;6,080
