Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;BestLength;WorstLength;AverageLength;ValidRuns;ComputationTime

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000
Started: 2025-03-26 19:16:16
Initial parameters:
ALPHA=1,5000;BETA=1,0000;RHO=0,7000;Q=100,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

ALPHA;0,0010;11281,00;11868,00;11548,80;10;5578,47
ALPHA;0,0100;11319,00;11597,00;11433,10;10;4945,72
ALPHA;0,1000;11274,00;11891,00;11639,30;10;4516,17
ALPHA;0,5000;11319,00;11894,00;11543,40;10;4370,36
ALPHA;1,0000;10715,00;11622,00;11313,70;10;5166,90
ALPHA;1,5000;10517,00;11894,00;11399,10;10;5934,09
BETA;1,0000;11319,00;11894,00;11572,50;10;5687,65
BETA;1,5000;11319,00;11796,00;11432,10;10;5755,05
BETA;2,0000;10738,00;11894,00;11468,50;10;5450,97
BETA;3,0000;10495,00;11526,00;11364,30;10;5735,32
BETA;4,0000;11319,00;11733,00;11527,20;10;5458,32
BETA;5,0000;11281,00;11796,00;11499,80;10;4721,07
NUM_ANTS;20;11319,00;12077,00;11716,40;10;1581,26
NUM_ANTS;30;11319,00;12045,00;11703,50;10;1792,58
NUM_ANTS;40;11319,00;11933,00;11715,00;10;2480,74
NUM_ANTS;50;11327,00;11894,00;11589,70;10;2995,94
NUM_ANTS;75;11442,00;11894,00;11630,40;10;4491,85
NUM_ANTS;100;10473,00;11796,00;11367,10;10;6052,15
Q;10,0000;11019,00;11891,00;11452,50;10;6377,91
Q;50,0000;11076,00;11861,00;11443,60;10;6149,81
Q;100,0000;11243,00;11597,00;11461,40;10;6192,61
Q;500,0000;11076,00;11627,00;11425,90;10;6091,89
Q;750,0000;11303,00;11526,00;11426,10;10;6061,20
Q;1000,0000;11275,00;11530,00;11430,70;10;6072,47
RHO;0,1000;11232,00;11862,00;11434,90;10;6051,25
RHO;0,3000;11319,00;11894,00;11462,80;10;6117,46
RHO;0,5000;11174,00;11796,00;11465,10;10;6161,98
RHO;0,7000;11128,00;11861,00;11428,80;10;6109,34
RHO;0,8000;11319,00;11622,00;11452,40;10;6159,83
RHO;0,8500;11281,00;11861,00;11538,10;10;6194,06
RHO;0,9000;11319,00;11627,00;11451,30;10;6142,07
TAU_0;0,0000;11076,00;11627,00;11433,00;10;6208,44
TAU_0;0,0001;10807,00;11526,00;11335,30;10;6241,23
TAU_0;0,0010;11293,00;11514,00;11413,40;10;6197,81
TAU_0;0,0100;11232,00;11597,00;11420,80;10;6127,12
TAU_0;0,1000;11155,00;11894,00;11478,90;10;6157,43
TAU_0;0,5000;11319,00;11727,00;11508,90;10;6118,53
TAU_0;1,0000;11319,00;11689,00;11502,20;10;6465,35

=== New Experiment ===
Started: 2025-03-26 19:58:30
Initial parameters:
ALPHA=1,0000;BETA=3,0000;RHO=0,7000;Q=500,00;TAU_0=0,0001;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=1000

ALPHA;0,0010;11243,00;11864,00;11528,50;10;6881,60
ALPHA;0,0100;11319,00;11597,00;11454,00;10;7228,99
ALPHA;0,1000;11155,00;11627,00;11410,60;10;6926,26
ALPHA;0,5000;10897,00;11597,00;11374,10;10;6672,72
ALPHA;1,0000;11319,00;11622,00;11474,20;10;7208,03
ALPHA;1,5000;11232,00;11607,00;11371,40;10;7482,65
BETA;1,0000;11281,00;11627,00;11496,20;10;6939,60
BETA;1,5000;11303,00;11894,00;11496,30;10;7213,26
BETA;2,0000;10934,00;11678,00;11473,40;10;6599,19
BETA;3,0000;11426,00;11861,00;11533,70;10;6775,53
BETA;4,0000;11319,00;11894,00;11570,40;10;6741,93
BETA;5,0000;11066,00;11891,00;11478,30;10;7289,50
P_0;0,0100;11319,00;12045,00;11851,60;10;6017,05
P_0;0,0250;11514,00;11894,00;11669,20;10;6186,71
P_0;0,0500;11319,00;11894,00;11563,30;10;6398,51
P_0;0,1000;11303,00;11526,00;11424,50;10;6589,06
P_0;0,2000;11481,00;12077,00;11788,20;10;6477,64
P_0;0,3000;11514,00;12839,00;12273,00;10;6464,63
NUM_ANTS;20;11311,00;12077,00;11663,00;10;1819,50
NUM_ANTS;30;11319,00;11894,00;11550,60;10;1913,87
NUM_ANTS;40;11485,00;11796,00;11577,80;10;2547,66
NUM_ANTS;50;11380,00;11846,00;11555,10;10;3258,34
NUM_ANTS;75;11076,00;11894,00;11535,80;10;4934,06
NUM_ANTS;100;10540,00;11744,00;11382,30;10;5732,65
Q;10,0000;11232,00;11894,00;11503,70;10;5668,40
Q;50,0000;11232,00;11597,00;11406,50;10;5641,91
Q;100,0000;10738,00;11485,00;11302,10;10;5674,23
Q;500,0000;11319,00;11526,00;11444,10;10;5703,12
Q;750,0000;11076,00;11770,00;11484,20;10;5585,64
Q;1000,0000;11224,00;11796,00;11445,50;10;5687,34
RHO;0,1000;11239,00;11549,00;11402,30;10;5615,03
RHO;0,3000;10851,00;11894,00;11401,40;10;5657,94
RHO;0,5000;11204,00;11627,00;11418,20;10;8726,72
RHO;0,7000;11232,00;11737,00;11494,00;10;7026,96
RHO;0,8000;11232,00;11622,00;11450,40;10;6564,70
RHO;0,8500;11319,00;11526,00;11431,30;10;6554,64
RHO;0,9000;11319,00;11894,00;11581,00;10;6583,23
TAU_0;0,0000;11243,00;11732,00;11459,10;10;6733,00
TAU_0;0,0001;10472,00;11847,00;11326,30;10;6608,83
TAU_0;0,0010;11111,00;11485,00;11361,20;10;6592,67
TAU_0;0,0100;11076,00;11894,00;11481,70;10;6576,95
