=== Best Solution Found ===;;;
Timestamp: 2025-03-28 00:14:07;;;
Total Length: 11331,00 meters;;;
Computation Time: 4119,80 seconds;;;
;;;
Parameters used:;;;
34;42;25;796,00
96;3;4;519,00
101;40;25;755,00
109;40;23;462,00
114;3;1;353,00
118;46;17;654,00
119;17;30;1060,00
172;47;28;842,00
202;56;60;496,00
207;73;72;388,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-29 00:47:03
Total Length: 11195,00 meters
Computation Time: 3036,65 seconds

Parameters used:
ALPHA=0,1000;BETA=2,0000;RHO=0,9000;Q=10,00;
TAU_0=0,7500;P_0=0,0500;NUM_ANTS=150;MAX_ITERATIONS=3000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
5;42;38;521,00
23;23;41;838,00
97;4;5;393,00
101;40;25;755,00
103;30;17;863,00
109;40;23;462,00
119;17;30;1060,00
194;75;47;1079,00
195;41;140;628,00
199;57;58;240,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-29 12:43:20
Total Length: 11128,00 meters
Computation Time: 3215,79 seconds

Parameters used:
ALPHA=0,5000;BETA=4,0000;RHO=0,6000;Q=1500,00;
TAU_0=0,0010;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=2000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
5;42;38;521,00
23;23;41;838,00
33;38;42;586,00
101;40;25;755,00
103;30;17;863,00
108;25;40;545,00
111;2;5;525,00
119;17;30;1060,00
194;75;47;1079,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-29 14:33:25
Total Length: 11596,00 meters
Computation Time: 6604,19 seconds

Parameters used:
ALPHA=1,5000;BETA=5,0000;RHO=0,3000;Q=500,00;
TAU_0=0,7500;P_0=0,0250;NUM_ANTS=75;MAX_ITERATIONS=3000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
29;125;124;384,00
34;42;25;796,00
61;73;75;669,00
101;40;25;755,00
103;30;17;863,00
112;5;4;424,00
119;17;30;1060,00
174;34;38;625,00
203;60;140;826,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-29 16:26:33
Total Length: 11382,00 meters
Computation Time: 6788,46 seconds

Parameters used:
ALPHA=0,0010;BETA=0,7500;RHO=0,8000;Q=500,00;
TAU_0=0,2500;P_0=0,1000;NUM_ANTS=50;MAX_ITERATIONS=750

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
33;38;42;586,00
96;3;4;519,00
101;40;25;755,00
103;30;17;863,00
109;40;23;462,00
119;17;30;1060,00
151;38;34;532,00
153;28;47;1003,00
198;56;57;408,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-29 17:19:09
Total Length: 11177,00 meters
Computation Time: 3156,07 seconds

Parameters used:
ALPHA=1,5000;BETA=10,0000;RHO=0,7500;Q=50,00;
TAU_0=1,0000;P_0=0,0500;NUM_ANTS=50;MAX_ITERATIONS=2000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
34;42;25;796,00
101;40;25;755,00
103;30;17;863,00
109;40;23;462,00
111;2;5;525,00
119;17;30;1060,00
194;75;47;1079,00
197;60;56;510,00
236;107;106;596,00
238;104;83;1133,00
248;82;83;642,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-29 22:07:31
Total Length: 11383,00 meters
Computation Time: 17301,72 seconds

Parameters used:
ALPHA=1,0000;BETA=0,7500;RHO=0,1000;Q=10,00;
TAU_0=0,0100;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=3000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
34;42;25;796,00
97;4;5;393,00
101;40;25;755,00
103;30;17;863,00
109;40;23;462,00
119;17;30;1060,00
172;47;28;842,00
173;28;34;668,00
206;75;73;417,00
236;107;106;596,00
238;104;83;1133,00
248;82;83;642,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-30 00:36:21
Total Length: 11814,00 meters
Computation Time: 3316,21 seconds

Parameters used:
ALPHA=0,3000;BETA=10,0000;RHO=0,1000;Q=1000,00;
TAU_0=0,5000;P_0=0,0500;NUM_ANTS=75;MAX_ITERATIONS=500

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
5;42;38;521,00
23;23;41;838,00
99;2;125;339,00
101;40;25;755,00
102;25;30;503,00
103;30;17;863,00
108;25;40;545,00
111;2;5;525,00
112;5;4;424,00
173;28;34;668,00
183;67;82;361,00
205;47;75;1116,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-30 01:00:56
Total Length: 11039,00 meters
Computation Time: 1474,28 seconds

Parameters used:
ALPHA=0,7000;BETA=1,5000;RHO=0,8000;Q=1000,00;
TAU_0=0,1000;P_0=0,0500;NUM_ANTS=50;MAX_ITERATIONS=2000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
95;1;3;353,00
101;40;25;755,00
103;30;17;863,00
109;40;23;462,00
119;17;30;1060,00
152;34;28;645,00
172;47;28;842,00
174;34;38;625,00
199;57;58;240,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-30 01:56:55
Total Length: 11495,00 meters
Computation Time: 3359,84 seconds

Parameters used:
ALPHA=1,0000;BETA=0,5000;RHO=0,5000;Q=750,00;
TAU_0=0,7500;P_0=0,0100;NUM_ANTS=50;MAX_ITERATIONS=2000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
29;125;124;384,00
34;42;25;796,00
101;40;25;755,00
103;30;17;863,00
112;5;4;424,00
119;17;30;1060,00
151;38;34;532,00
194;75;47;1079,00
198;56;57;408,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-30 04:59:54
Total Length: 11596,00 meters
Computation Time: 7378,55 seconds

Parameters used:
ALPHA=0,3000;BETA=1,5000;RHO=0,1000;Q=100,00;
TAU_0=0,2500;P_0=0,0100;NUM_ANTS=150;MAX_ITERATIONS=3000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
29;125;124;384,00
34;42;25;796,00
61;73;75;669,00
101;40;25;755,00
103;30;17;863,00
112;5;4;424,00
119;17;30;1060,00
174;34;38;625,00
203;60;140;826,00
235;105;107;1305,00
238;104;83;1133,00
249;83;104;1214,00


=== Best Solution Found ===
Timestamp: 2025-03-30 07:18:04
Total Length: 11373,00 meters
Computation Time: 8289,62 seconds

Parameters used:
ALPHA=0,7000;BETA=0,7500;RHO=0,5000;Q=1500,00;
TAU_0=0,5000;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=3000

Wired segments:
SegmentID;Node1;Node2;Distance
1;41;23;704,00
23;23;41;838,00
101;40;25;755,00
