=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
RHO;0,6;12040;14245;13098;10;3137,59;
RHO;0,7;11036;13427;12730,7;10;3135,39;
RHO;0,75;11543;14098;13141,2;10;3135,77;
RHO;0,8;11549;13967;12876,5;10;3158,61;
RHO;0,85;11357;13964;12998,5;10;3130,04;
RHO;0,9;11425;13639;12543,3;10;3151,11;
TAU_0;0,001;12143;14138;13122,5;10;3139,86;
TAU_0;0,01;11290;13919;12716,2;10;3132,72;
TAU_0;0,1;11188;14318;13098,3;10;3152,8;
TAU_0;0,25;12073;14262;12939,4;10;3164,32;
TAU_0;0,5;11619;14166;13039,8;10;3126,79;
TAU_0;0,75;11228;13976;12581,9;10;3206,78;
TAU_0;1;11311;13841;12924,1;10;3157,16;
MAX_ITERATIONS;500;11111;14324;13038,5;10;2210,13;
MAX_ITERATIONS;750;11174;13841;12895,2;10;3025,51;
MAX_ITERATIONS;1000;11898;13842;13113,8;10;4041,35;
MAX_ITERATIONS;1500;10846;13246;12333,9;10;5915,8;
MAX_ITERATIONS;2000;11211;13409;12542,2;10;7839,58;
MAX_ITERATIONS;3000;11916;13798;12739,9;10;11479,8;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=0,0100;BETA=1,5000;RHO=0,9000;Q=100,00;;;;
TAU_0=0,7500;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 3 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 22:09:20;;;;;;;
Initial parameters:;;;;;;;
ALPHA=0,0100;BETA=1,5000;RHO=0,9000;Q=100,00;TAU_0=0,7500;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;10846;14092;12730,5;10;6113,14;
ALPHA;0,01;11816;13853;12951,1;10;6090,42;
ALPHA;0,1;11662;13871;12691,3;10;6096,98;
ALPHA;0,3;11087;13920;12617,2;10;6223,87;
ALPHA;0,5;11285;13863;12754,6;10;5711,54;
ALPHA;0,7;12496;14019;13248,5;10;6034,42;
ALPHA;1;11250;13945;12733,3;10;6061,49;
ALPHA;1,5;11188;13815;13132,9;10;6102,39;
BETA;0,5;11635;13308;12645,4;10;5738,2;
BETA;0,75;11873;13771;12926,8;10;6023,85;
BETA;1;11174;13774;12852,8;10;6103,23;
BETA;1,5;11247;13504;12495,1;10;6071,51;
BETA;2;11899;13157;12551,4;10;5701,53;
BETA;3;11407;13908;12680,3;10;6043,01;
BETA;4;12305;13711;13209,4;10;6087,9;
BETA;5;11043;13798;12972,7;10;6095,88;
BETA;10;11259;13842;12636,6;10;6099,5;
P_0;0,01;12290;14352;13099,6;10;5787,27;
P_0;0,025;11652;14129;12993,2;10;5935,22;
P_0;0,05;11927;13572;12906;10;5966,41;
P_0;0,1;11596;13636;12370,8;10;6074,52;
P_0;0,2;11993;14135;12909,7;10;6105,22;
P_0;0,3;11709;15569;13886,6;10;6169,29;
NUM_ANTS;30;12303;14080;12851,9;10;2900,44;
NUM_ANTS;40;11658;13852;13069,2;10;3478,58;
NUM_ANTS;50;12042;13740;12980,1;10;4849,55;
NUM_ANTS;75;11596;13828;12873,8;10;6508,7;
NUM_ANTS;100;11056;13789;12904,3;10;8909,3;
NUM_ANTS;150;12120;13695;13219,4;10;12592,88;
Q;10;10952;14340;13265,2;10;2789,37;
Q;50;11664;14082;12825,4;10;2863,73;
Q;100;11642;13853;12663,1;10;2716,38;
Q;250;12106;14261;13462,7;10;2741,81;
Q;500;11625;13678;12901;10;2832,52;
Q;750;11205;14019;12578;10;2735,36;
Q;1000;11583;14043;12904,6;10;2679,85;
Q;1500;12375;14229;13199,9;10;2862,76;
RHO;0,1;12453;14136;13273,3;10;2832,19;
RHO;0,3;11331;14225;12746,8;10;2807,17;
RHO;0,5;12319;13873;13062,9;10;2731,11;
RHO;0,6;11621;14124;13243,1;10;2823,83;
RHO;0,7;11418;13941;12981,3;10;2858,85;
RHO;0,8;12246;13979;13149;10;2802,84;
RHO;0,85;11160;14178;12896,1;10;3145,54;
RHO;0,9;11056;13571;12812,3;10;2951,24;
TAU_0;0,001;11025;13740;12912,3;10;2744,14;
TAU_0;0,01;12194;13919;13102,3;10;2773,06;
TAU_0;0,1;11909;14137;12938,3;10;2873,01;
TAU_0;0,25;12165;14072;13067;10;2782,92;
TAU_0;0,5000;11474,00;14003,00;12925,80;10;2823,53
TAU_0;0,7500;12486,00;13834,00;13135,70;10;2690,43
TAU_0;1,0000;11963,00;14554,00;12878,40;10;2607,67
MAX_ITERATIONS;500;11185,00;14158,00;12917,90;10;1053,05
MAX_ITERATIONS;750;11907,00;14337,00;13416,30;10;1503,26
MAX_ITERATIONS;1000;12042,00;14411,00;13316,90;10;1699,90
MAX_ITERATIONS;1500;12517,00;14161,00;13420,70;10;2487,37
MAX_ITERATIONS;2000;11190,00;13853,00;12511,10;10;3368,68
MAX_ITERATIONS;3000;11605,00;13375,00;12491,40;10;4975,25

=== Best Configuration Found ===
ALPHA=0,3000;BETA=1,5000;RHO=0,7500;Q=750,00;
TAU_0=1,0000;P_0=0,1000;NUM_ANTS=30;MAX_ITERATIONS=3000


=== Tuning Experiment 4 ===

=== New Experiment ===
Started: 2025-03-28 22:56:56
Initial parameters:
ALPHA=0,3000;BETA=1,5000;RHO=0,7500;Q=750,00;TAU_0=1,0000;P_0=0,1000;NUM_ANTS=30;MAX_ITERATIONS=3000

ALPHA;0,0010;11485,00;14092,00;12595,50;10;5154,13
ALPHA;0,0100;11839,00;13789,00;13300,00;10;5286,43
ALPHA;0,1000;11903,00;13711,00;13014,10;10;5208,77
ALPHA;0,3000;11800,00;13498,00;12696,70;10;5243,27
ALPHA;0,5000;11079,00;14006,00;12587,60;10;4932,30
ALPHA;0,7000;11110,00;13853,00;12816,40;10;5196,68
ALPHA;1,0000;11975,00;13499,00;12809,60;10;5193,41
ALPHA;1,5000;11651,00;13903,00;13082,10;10;5220,05
BETA;0,5000;12479,00;13798,00;13178,70;10;4538,87
BETA;0,7500;11034,00;14014,00;12785,10;10;4959,10
BETA;1,0000;11420,00;14047,00;12781,90;10;4883,25
BETA;1,5000;12011,00;13551,00;13039,60;10;4870,72
BETA;2,0000;11960,00;13408,00;12631,60;10;4495,99
BETA;3,0000;11738,00;13534,00;12820,20;10;4816,27
BETA;4,0000;11930,00;13805,00;13120,50;10;4967,63
BETA;5,0000;10986,00;13658,00;12697,30;10;4910,31
BETA;10,0000;12209,00;13829,00;13108,70;10;4900,13
P_0;0,0100;11733,00;14399,00;13204,30;10;4164,05
P_0;0,0250;12127,00;13301,00;12676,80;10;4240,40
P_0;0,0500;11907,00;13733,00;12897,60;10;4367,90
P_0;0,1000;11322,00;13955,00;12829,30;10;4448,66
P_0;0,2000;11581,00;14635,00;13218,70;10;4586,55
P_0;0,3000;12962,00;14971,00;13809,40;10;4618,77
NUM_ANTS;30;11691,00;14085,00;12583,00;10;4252,77
NUM_ANTS;40;11788,00;14414,00;12751,30;10;5454,02
NUM_ANTS;50;11700,00;13798,00;12562,00;10;6677,64
NUM_ANTS;75;11788,00;13570,00;12605,90;10;9622,79
NUM_ANTS;100;12453,00;13776,00;12895,30;10;13054,15
NUM_ANTS;150;11907,00;13497,00;12904,70;10;19409,12
Q;10,0000;11596,00;13703,00;12635,80;10;6925,13
Q;50,0000;11582,00;13798,00;13070,20;10;7339,23
Q;100,0000;11947,00;13930,00;13186,80;10;7070,37
Q;250,0000;11907,00;13900,00;12707,90;10;6679,05
Q;500,0000;11878,00;13875,00;13025,90;10;6658,07
Q;750,0000;11907,00;13660,00;12843,40;10;6731,44
Q;1000,0000;11186,00;14377,00;12880,30;10;6855,93
Q;1500,0000;11560,00;13636,00;12659,40;10;6722,52
RHO;0,1000;12072,00;14107,00;12994,90;10;6808,07
RHO;0,3000;11691,00;13798,00;12821,10;10;6832,84
RHO;0,5000;10966,00;13409,00;12327,80;10;6654,19
RHO;0,6000;10880,00;13786,00;12196,60;10;6636,05
RHO;0,7000;11596,00;13894,00;12851,90;10;6756,88
RHO;0,7500;11691,00;13427,00;12756,20;10;6676,16
RHO;0,8000;12364,00;13995,00;13091,30;10;6650,98
RHO;0,8500;11188,00;13565,00;12622,30;10;6610,17
RHO;0,9000;11319,00;14045,00;12943,30;10;6676,84
TAU_0;0,0010;11036,00;13561,00;12417,90;10;6700,38
TAU_0;0,0100;11907,00;14098,00;13273,10;10;6820,99
TAU_0;0,1000;11596,00;13124,00;12537,70;10;6743,49
TAU_0;0,2500;11605,00;14097,00;12970,70;10;6635,98
TAU_0;0,5000;11947,00;14142,00;12936,00;10;6605,92
TAU_0;0,7500;11651,00;13301,00;12559,70;10;6637,87
TAU_0;1,0000;11084,00;14046,00;12559,70;10;6650,87
MAX_ITERATIONS;500;11916,00;13673,00;12575,40;10;1670,44
MAX_ITERATIONS;750;11907,00;13960,00;12912,50;10;1651,85
MAX_ITERATIONS;1000;11492,00;14246,00;12744,80;10;2192,63
MAX_ITERATIONS;1500;12426,00;13772,00;13272,00;10;3305,91
MAX_ITERATIONS;2000;11907,00;13895,00;13182,90;10;4395,85
MAX_ITERATIONS;3000;11639,00;13806,00;12658,10;10;6503,10

=== Best Configuration Found ===
ALPHA=0,5000;BETA=2,0000;RHO=0,6000;Q=10,00;
TAU_0=0,0010;P_0=0,0250;NUM_ANTS=50;MAX_ITERATIONS=500


=== Tuning Experiment 5 ===

=== New Experiment ===
Started: 2025-03-28 23:56:26
Initial parameters:
ALPHA=0,5000;BETA=2,0000;RHO=0,6000;Q=10,00;TAU_0=0,0010;P_0=0,0250;NUM_ANTS=50;MAX_ITERATIONS=500

ALPHA;0,0010;11907,00;14439,00;13034,00;10;1276,19
ALPHA;0,0100;11700,00;14105,00;12832,50;10;1243,66
ALPHA;0,1000;10980,00;13320,00;12077,50;10;1271,32
ALPHA;0,3000;11596,00;14439,00;12990,60;10;1254,00
ALPHA;0,5000;11907,00;14801,00;13506,20;10;1169,76
ALPHA;0,7000;11175,00;14751,00;13103,40;10;1255,33
ALPHA;1,0000;11700,00;14136,00;12973,00;10;1259,58
ALPHA;1,5000;12364,00;14518,00;13181,70;10;1257,32
BETA;0,5000;11916,00;14801,00;13068,30;10;1267,53
BETA;0,7500;11793,00;14376,00;13331,10;10;1317,18
BETA;1,0000;12298,00;14098,00;13451,40;10;1382,70
BETA;1,5000;12434,00;14005,00;13000,80;10;1379,28
BETA;2,0000;10966,00;14223,00;12571,40;10;1243,20
BETA;3,0000;11596,00;13995,00;12698,40;10;1349,97
BETA;4,0000;11832,00;14327,00;13264,60;10;1395,75
BETA;5,0000;11907,00;14361,00;12794,20;10;1348,74
BETA;10,0000;11907,00;14288,00;13003,20;10;1342,35
P_0;0,0100;11694,00;14881,00;13018,10;10;1230,97
P_0;0,0250;11605,00;14191,00;12794,10;10;1235,10
P_0;0,0500;11727,00;14098,00;12647,80;10;1389,58
P_0;0,1000;11319,00;14098,00;12942,90;10;1293,91
P_0;0,2000;11871,00;14785,00;13472,70;10;1323,56
P_0;0,3000;12060,00;15659,00;13723,20;10;1357,69
NUM_ANTS;30;11403,00;14020,00;13079,30;10;823,79
NUM_ANTS;40;11916,00;13592,00;12809,70;10;1015,97
NUM_ANTS;50;11757,00;14055,00;12668,80;10;1249,82
NUM_ANTS;75;11605,00;14407,00;13049,50;10;1829,80
NUM_ANTS;100;11907,00;14062,00;13042,50;10;2649,99
NUM_ANTS;150;11697,00;13396,00;12510,30;10;3745,74
Q;10,0000;10775,00;13494,00;12418,80;10;3860,74
Q;50,0000;11661,00;13779,00;12628,90;10;3811,90
Q;100,0000;10952,00;13501,00;12651,40;10;3900,48
Q;250,0000;10898,00;13197,00;12446,90;10;3842,54
Q;500,0000;11081,00;14065,00;12433,40;10;3868,25
Q;750,0000;11340,00;13446,00;12507,90;10;3891,24
Q;1000,0000;11605,00;14021,00;12680,50;10;3888,34
Q;1500,0000;11788,00;13767,00;12646,10;10;3793,12
RHO;0,1000;11596,00;13881,00;13042,00;10;3879,61
RHO;0,3000;11475,00;13798,00;12817,40;10;3890,43
RHO;0,5000;11691,00;13253,00;12694,90;10;3817,63
RHO;0,6000;11907,00;13472,00;12617,40;10;3862,58
RHO;0,7000;11907,00;13553,00;12763,70;10;3851,05
RHO;0,7500;11700,00;13641,00;12658,70;10;3820,45
RHO;0,8000;11907,00;13274,00;12578,90;10;3848,16
RHO;0,8500;11596,00;13544,00;12521,20;10;3825,60
RHO;0,9000;11214,00;13396,00;12477,80;10;3849,07
TAU_0;0,0010;11273,00;13959,00;12596,30;10;3894,28
TAU_0;0,0100;11907,00;13639,00;12810,30;10;3830,53
TAU_0;0,1000;12127,00;13884,00;12844,00;10;3829,66
TAU_0;0,2500;11722,00;13670,00;12941,70;10;3872,36
TAU_0;0,5000;11916,00;14085,00;12934,60;10;3844,76
TAU_0;0,7500;11691,00;13679,00;12586,40;10;3979,08
TAU_0;1,0000;11605,00;13840,00;12663,00;10;3858,63
MAX_ITERATIONS;500;11377,00;14290,00;12924,10;10;3840,81
MAX_ITERATIONS;750;12364,00;13409,00;12978,30;10;5490,35
MAX_ITERATIONS;1000;11637,00;13301,00;12648,20;10;7452,19
MAX_ITERATIONS;1500;11922,00;13670,00;12732,20;10;10659,07
MAX_ITERATIONS;2000;11715,00;13493,00;12599,30;10;14264,10
MAX_ITERATIONS;3000;11084,00;12580,00;11881,30;10;20996,81

=== Best Configuration Found ===
ALPHA=0,1000;BETA=2,0000;RHO=0,9000;Q=10,00;
TAU_0=0,7500;P_0=0,0500;NUM_ANTS=150;MAX_ITERATIONS=3000


=== Tuning Experiment 1 ===

=== New Experiment ===
Started: 2025-03-29 11:49:45
Initial parameters:
ALPHA=0,1000;BETA=10,0000;RHO=0,6000;Q=100,00;TAU_0=1,0000;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=1500

ALPHA;0,0010;11916,00;14185,00;13298,40;10;7909,32
ALPHA;0,0100;11907,00;14006,00;12743,40;10;8010,71
ALPHA;0,1000;12167,00;14202,00;12830,80;10;7973,68
ALPHA;0,3000;11596,00;13936,00;12932,10;10;7954,15
ALPHA;0,5000;11110,00;14021,00;12707,40;10;7428,63
ALPHA;0,7000;11828,00;14085,00;13152,90;10;7890,78
ALPHA;1,0000;11915,00;13634,00;12779,70;10;8015,49
ALPHA;1,5000;11907,00;13798,00;12840,20;10;7981,32
BETA;0,5000;11907,00;13895,00;13113,60;10;6740,09
BETA;0,7500;11301,00;13886,00;12651,70;10;7243,58
BETA;1,0000;11043,00;14377,00;12854,80;10;7278,21
BETA;1,5000;11884,00;13784,00;12597,60;10;7224,88
BETA;2,0000;12459,00;13798,00;13256,50;10;6710,06
BETA;3,0000;11700,00;13841,00;12725,70;10;7287,01
BETA;4,0000;11596,00;13386,00;12392,80;10;7327,52
BETA;5,0000;11797,00;13427,00;12679,20;10;7425,63
BETA;10,0000;12223,00;13798,00;13021,70;10;7404,04
P_0;0,0100;11691,00;14185,00;13194,00;10;7221,48
P_0;0,0250;12167,00;14098,00;13122,60;10;7412,38
P_0;0,0500;11367,00;13853,00;13102,90;10;7554,12
P_0;0,1000;11445,00;13757,00;12570,10;10;7644,34
P_0;0,2000;12041,00;14047,00;13075,90;10;7787,70
P_0;0,3000;11949,00;15333,00;14055,60;10;7850,56
NUM_ANTS;30;12065,00;13866,00;13026,30;10;2850,77
NUM_ANTS;40;11175,00;14449,00;12289,30;10;3092,61
NUM_ANTS;50;11771,00;14051,00;12888,60;10;3903,38
NUM_ANTS;75;11073,00;14279,00;12915,00;10;5601,71
NUM_ANTS;100;11052,00;13549,00;12606,10;10;7496,15
NUM_ANTS;150;11175,00;13855,00;12581,60;10;11109,65
Q;10,0000;12139,00;13949,00;13020,90;10;3217,40
Q;50,0000;11596,00;13718,00;12889,20;10;3183,08
Q;100,0000;11806,00;14156,00;12822,60;10;3156,41
Q;250,0000;10095,00;13920,00;13037,70;10;3147,24
Q;500,0000;11383,00;14134,00;12892,00;10;3181,46
Q;750,0000;11548,00;13300,00;12626,10;10;3154,83
Q;1000,0000;12167,00;14203,00;13070,50;10;3158,46
Q;1500,0000;11285,00;13814,00;12576,60;10;3162,04
RHO;0,1000;12194,00;14052,00;13165,50;10;3190,96
RHO;0,3000;11457,00;13933,00;12782,50;10;3148,69
RHO;0,5000;12157,00;13902,00;13036,50;10;3200,40
RHO;0,6000;11927,00;13393,00;12671,60;10;3167,14
RHO;0,7000;11857,00;13778,00;12828,30;10;3173,18
RHO;0,7500;12475,00;14003,00;13504,60;10;3191,60
RHO;0,8000;12387,00;14136,00;13011,00;10;3183,98
RHO;0,8500;11479,00;14003,00;12978,10;10;3186,05
RHO;0,9000;11907,00;14208,00;13078,80;10;3199,31
TAU_0;0,0010;10952,00;13635,00;12675,30;10;3151,55
TAU_0;0,0100;11644,00;14183,00;13034,80;10;3160,45
TAU_0;0,1000;12571,00;13995,00;13123,50;10;3146,87
TAU_0;0,2500;12441,00;13721,00;13097,70;10;3170,45
TAU_0;0,5000;10997,00;13871,00;12799,30;10;3170,78
TAU_0;0,7500;12572,00;13562,00;13102,50;10;3177,69
TAU_0;1,0000;11625,00;14110,00;13336,00;10;3183,90
MAX_ITERATIONS;500;11328,00;14460,00;13392,70;10;1279,29
MAX_ITERATIONS;750;11532,00;14047,00;12643,60;10;1509,24
MAX_ITERATIONS;1000;11373,00;14398,00;13153,10;10;2015,78
MAX_ITERATIONS;1500;11643,00;13995,00;12823,20;10;3073,27
MAX_ITERATIONS;2000;11127,00;13932,00;12424,20;10;4119,25
MAX_ITERATIONS;3000;11698,00;13768,00;12784,90;10;6208,31

=== Best Configuration Found ===
ALPHA=0,5000;BETA=4,0000;RHO=0,6000;Q=1500,00;
TAU_0=0,0010;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=2000


=== Tuning Experiment 2 ===

=== New Experiment ===
Started: 2025-03-29 12:43:20
Initial parameters:
ALPHA=0,5000;BETA=4,0000;RHO=0,6000;Q=1500,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=2000

ALPHA;0,0010;10942,00;13461,00;12733,30;10;4485,53
ALPHA;0,0100;11642,00;14326,00;13033,80;10;4484,69
ALPHA;0,1000;12176,00;14098,00;13315,80;10;4501,06
ALPHA;0,3000;11211,00;13540,00;12639,40;10;4501,27
ALPHA;0,5000;12049,00;13959,00;13158,00;10;4273,90
ALPHA;0,7000;11205,00;14129,00;12832,60;10;4430,39
ALPHA;1,0000;11681,00;14311,00;13185,50;10;4488,96
ALPHA;1,5000;11180,00;13734,00;12369,10;10;4485,85
BETA;0,5000;11853,00;13825,00;12776,10;10;4274,60
BETA;0,7500;11742,00;14055,00;12735,60;10;4405,69
BETA;1,0000;12177,00;14170,00;13416,90;10;4465,89
BETA;1,5000;10966,00;13841,00;12736,70;10;4492,27
BETA;2,0000;12028,00;13965,00;12975,20;10;4179,62
BETA;3,0000;11728,00;13763,00;12909,90;10;4463,42
BETA;4,0000;11763,00;14019,00;12919,10;10;4510,74
BETA;5,0000;11228,00;13599,00;12442,10;10;4637,03
BETA;10,0000;12195,00;13969,00;13129,40;10;4459,76
P_0;0,0100;11869,00;14931,00;13303,60;10;4245,59
P_0;0,0250;11596,00;13596,00;12827,20;10;4327,07
P_0;0,0500;11405,00;13891,00;13275,80;10;4384,46
P_0;0,1000;11758,00;13991,00;12884,70;10;4478,62
P_0;0,2000;12119,00;13967,00;13075,90;10;4506,09
P_0;0,3000;11750,00;15152,00;13853,30;10;4533,55
NUM_ANTS;30;11203,00;14399,00;12917,10;10;3334,37
NUM_ANTS;40;12364,00;13885,00;13066,80;10;4405,30
NUM_ANTS;50;11916,00;13920,00;12877,60;10;5334,50
NUM_ANTS;75;11127,00;13594,00;12538,00;10;7641,08
NUM_ANTS;100;11596,00;14011,00;12721,00;10;10137,79
NUM_ANTS;150;11691,00;13853,00;12679,60;10;17766,10
Q;10,0000;11816,00;14101,00;12890,00;10;8849,76
Q;50,0000;11161,00;13639,00;12762,00;10;9620,40
Q;100,0000;11907,00;14098,00;13041,40;10;9656,67
Q;250,0000;11907,00;14004,00;12844,70;10;9676,94
Q;500,0000;11211,00;13713,00;12333,50;10;10283,76
Q;750,0000;11828,00;13437,00;12718,20;10;9272,50
Q;1000,0000;11605,00;14071,00;12411,20;10;8148,09
Q;1500,0000;12106,00;13431,00;12688,00;10;8636,17
RHO;0,1000;11907,00;13301,00;12716,50;10;8865,64
RHO;0,3000;11907,00;13409,00;12582,00;10;8936,59
RHO;0,5000;11596,00;14241,00;12880,20;10;9234,83
RHO;0,6000;12167,00;13669,00;12755,60;10;11100,83
RHO;0,7000;11596,00;13798,00;12586,60;10;17765,06
RHO;0,7500;11907,00;13912,00;12794,80;10;16556,89
RHO;0,8000;11907,00;14100,00;12700,70;10;14690,32
RHO;0,8500;11797,00;13853,00;13051,80;10;17007,84
RHO;0,9000;11788,00;14229,00;13091,80;10;16618,84
TAU_0;0,0010;11916,00;13775,00;12982,70;10;16830,83
TAU_0;0,0100;12068,00;14078,00;12849,60;10;16945,72
TAU_0;0,1000;12434,00;13798,00;12887,20;10;17027,06
TAU_0;0,2500;11664,00;14137,00;12909,00;10;17009,21
TAU_0;0,5000;11596,00;13959,00;12876,60;10;17001,39
TAU_0;0,7500;11907,00;13771,00;12623,10;10;17013,22
TAU_0;1,0000;11596,00;13916,00;12768,50;10;16664,21
MAX_ITERATIONS;500;11110,00;14325,00;12632,80;10;5331,03
MAX_ITERATIONS;750;12167,00;14439,00;13086,60;10;5945,22
MAX_ITERATIONS;1000;11878,00;14142,00;12747,40;10;6592,00
MAX_ITERATIONS;1500;11596,00;14241,00;12882,40;10;12320,94
MAX_ITERATIONS;2000;11907,00;14185,00;12906,10;10;16537,46
MAX_ITERATIONS;3000;11596,00;13537,00;12598,30;10;24478,52

=== Best Configuration Found ===
ALPHA=1,5000;BETA=5,0000;RHO=0,3000;Q=500,00;
TAU_0=0,7500;P_0=0,0250;NUM_ANTS=75;MAX_ITERATIONS=3000


=== Tuning Experiment 3 ===

=== New Experiment ===
Started: 2025-03-29 14:33:25
Initial parameters:
ALPHA=1,5000;BETA=5,0000;RHO=0,3000;Q=500,00;TAU_0=0,7500;P_0=0,0250;NUM_ANTS=75;MAX_ITERATIONS=3000

ALPHA;0,0010;11916,00;13354,00;12456,00;10;22596,67
ALPHA;0,0100;11862,00;13830,00;13228,90;10;15388,17
ALPHA;0,1000;11596,00;13427,00;12828,50;10;11296,44
ALPHA;0,3000;12167,00;13822,00;12770,60;10;11433,02
ALPHA;0,5000;11907,00;13942,00;12953,20;10;10510,30
ALPHA;0,7000;11679,00;13866,00;13123,50;10;11158,97
ALPHA;1,0000;11623,00;13427,00;12458,50;10;11137,29
ALPHA;1,5000;11700,00;13935,00;13035,40;10;11175,21
BETA;0,5000;11500,00;13409,00;12821,60;10;10501,76
BETA;0,7500;11797,00;13427,00;12320,60;10;11417,14
BETA;1,0000;11711,00;13798,00;12907,30;10;11411,72
BETA;1,5000;11040,00;13427,00;12656,90;10;11256,99
BETA;2,0000;11700,00;14097,00;13091,10;10;10550,72
BETA;3,0000;11707,00;13853,00;12589,20;10;11191,14
BETA;4,0000;11788,00;13404,00;12591,50;10;11253,21
BETA;5,0000;11907,00;13972,00;12774,20;10;11142,82
BETA;10,0000;11755,00;13959,00;12603,80;10;11207,84
P_0;0,0100;11605,00;14384,00;12907,70;10;11030,03
P_0;0,0250;11079,00;13301,00;12387,90;10;11312,72
P_0;0,0500;11596,00;13634,00;12567,30;10;11475,18
P_0;0,1000;11202,00;13409,00;12361,30;10;11604,99
P_0;0,2000;11797,00;14297,00;13004,20;10;11829,20
P_0;0,3000;12801,00;14632,00;13579,50;10;11696,60
NUM_ANTS;30;11752,00;13643,00;12710,30;10;5501,34
NUM_ANTS;40;11621,00;13541,00;12545,20;10;6217,96
NUM_ANTS;50;11188,00;13567,00;12377,80;10;7703,34
NUM_ANTS;75;11907,00;13671,00;12996,40;10;11304,84
NUM_ANTS;100;11043,00;13798,00;12417,70;10;15103,61
NUM_ANTS;150;11110,00;13627,00;12807,10;10;22257,18
Q;10,0000;11945,00;13433,00;12625,00;10;8086,59
Q;50,0000;11681,00;13749,00;12691,40;10;8024,13
Q;100,0000;12190,00;13836,00;13141,60;10;12964,39
Q;250,0000;11443,00;14009,00;12761,10;10;17891,64
Q;500,0000;11910,00;13666,00;12537,90;10;17601,35
Q;750,0000;12106,00;13594,00;12626,70;10;17321,57
Q;1000,0000;11578,00;13689,00;12851,50;10;17748,38
Q;1500,0000;10795,00;14003,00;12886,80;10;17851,07
RHO;0,1000;11128,00;13731,00;12759,50;10;15029,18
RHO;0,3000;11928,00;13706,00;12848,50;10;17373,14
RHO;0,5000;11373,00;13815,00;12748,70;10;17959,93
RHO;0,6000;11239,00;13798,00;12538,00;10;9733,91
RHO;0,7000;11404,00;13459,00;12374,80;10;8114,14
RHO;0,7500;11160,00;13859,00;12856,80;10;9227,28
RHO;0,8000;11032,00;13749,00;12329,60;10;11523,18
RHO;0,8500;11025,00;13616,00;12527,70;10;9623,83
RHO;0,9000;10994,00;13294,00;12549,50;10;10630,47
TAU_0;0,0010;11564,00;13643,00;12794,80;10;10349,70
TAU_0;0,0100;11995,00;13429,00;12667,60;10;9966,61
TAU_0;0,1000;11716,00;13552,00;12517,50;10;10308,40
TAU_0;0,2500;11110,00;14089,00;12306,50;10;10241,43
TAU_0;0,5000;11182,00;13696,00;12606,00;10;10132,58
TAU_0;0,7500;11639,00;13659,00;12744,50;10;10179,13
TAU_0;1,0000;12112,00;13520,00;12795,10;10;10116,08
MAX_ITERATIONS;500;11861,00;14350,00;13268,00;10;2550,72
MAX_ITERATIONS;750;11280,00;14006,00;12767,20;10;2509,65
MAX_ITERATIONS;1000;11890,00;13802,00;12931,60;10;3365,45
MAX_ITERATIONS;1500;11947,00;13644,00;12923,30;10;5057,18
MAX_ITERATIONS;2000;11282,00;13660,00;12846,60;10;6824,00
MAX_ITERATIONS;3000;11110,00;13859,00;12923,20;10;8520,82

=== Best Configuration Found ===
ALPHA=0,0010;BETA=0,7500;RHO=0,8000;Q=500,00;
TAU_0=0,2500;P_0=0,1000;NUM_ANTS=50;MAX_ITERATIONS=750


=== Tuning Experiment 4 ===

=== New Experiment ===
Started: 2025-03-29 16:26:33
Initial parameters:
ALPHA=0,0010;BETA=0,7500;RHO=0,8000;Q=500,00;TAU_0=0,2500;P_0=0,1000;NUM_ANTS=50;MAX_ITERATIONS=750

ALPHA;0,0010;11916,00;14150,00;13195,60;10;2062,13
ALPHA;0,0100;12065,00;14543,00;13282,60;10;2137,35
ALPHA;0,1000;12306,00;14207,00;13318,90;10;2048,74
ALPHA;0,3000;11788,00;14605,00;13304,60;10;2036,60
ALPHA;0,5000;11782,00;13991,00;13069,20;10;1971,44
ALPHA;0,7000;11391,00;13917,00;13108,50;10;2037,11
ALPHA;1,0000;11175,00;13995,00;13233,40;10;2053,44
ALPHA;1,5000;11203,00;14351,00;12705,80;10;2077,55
BETA;0,5000;12566,00;13311,00;12930,30;10;1925,42
BETA;0,7500;11568,00;14085,00;12882,10;10;2051,78
BETA;1,0000;11249,00;14098,00;12989,10;10;2074,42
BETA;1,5000;11055,00;13673,00;12655,60;10;2052,72
BETA;2,0000;11158,00;14365,00;13246,80;10;1941,63
