
=== Tuning Experiment 1 ===

=== New Experiment ===
Started: 2025-03-27 23:05:27
Initial parameters:
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500

ALPHA;0,0010;1;13171,00;10,355
ALPHA;0,0010;2;13348,00;9,292
ALPHA;0,0010;3;11381,00;8,852
ALPHA;0,0010;4;12320,00;8,843
ALPHA;0,0010;5;13270,00;8,946
ALPHA;0,0010;6;12162,00;9,142
ALPHA;0,0010;7;12151,00;8,808
ALPHA;0,0010;8;12359,00;9,596
ALPHA;0,0010;9;13214,00;9,776
ALPHA;0,0010;10;13771,00;10,527
ALPHA;0,0100;1;13579,00;9,690
ALPHA;0,0100;2;12434,00;9,189
ALPHA;0,0100;3;12544,00;8,936
ALPHA;0,0100;4;13920,00;8,917
ALPHA;0,0100;5;12954,00;9,045
ALPHA;0,0100;6;12786,00;9,225
ALPHA;0,0100;7;12905,00;8,966
ALPHA;0,0100;8;13551,00;8,980
ALPHA;0,0100;9;12484,00;8,987
ALPHA;0,0100;10;12834,00;8,941
ALPHA;0,1000;1;13959,00;9,050
ALPHA;0,1000;2;12111,00;8,956
ALPHA;0,1000;3;11657,00;8,803
ALPHA;0,1000;4;12072,00;9,131
ALPHA;0,1000;5;13264,00;9,041
ALPHA;0,1000;6;13853,00;8,907
ALPHA;0,1000;7;13590,00;8,977
ALPHA;0,1000;8;11175,00;9,083
ALPHA;0,1000;9;12035,00;9,164
ALPHA;0,1000;10;11174,00;8,923
ALPHA;0,3000;1;13726,00;9,108
ALPHA;0,3000;2;12502,00;8,950
ALPHA;0,3000;3;12123,00;9,001
ALPHA;0,3000;4;13217,00;8,884
ALPHA;0,3000;5;13613,00;9,124
ALPHA;0,3000;6;11481,00;8,894
ALPHA;0,3000;7;12781,00;8,974
ALPHA;0,3000;8;11646,00;8,854
ALPHA;0,3000;9;13268,00;8,928
ALPHA;0,3000;10;12307,00;8,998
ALPHA;0,5000;1;13948,00;9,512
ALPHA;0,5000;2;13672,00;8,622
ALPHA;0,5000;3;12428,00;8,760
ALPHA;0,5000;4;13527,00;10,433
ALPHA;0,5000;5;13236,00;8,706
ALPHA;0,5000;6;11975,00;7,795
ALPHA;0,5000;7;14192,00;7,832
ALPHA;0,5000;8;13658,00;7,866
ALPHA;0,5000;9;13285,00;7,514
ALPHA;0,5000;10;12485,00;7,777
ALPHA;0,7000;1;12930,00;7,420
ALPHA;0,7000;2;12791,00;7,820
ALPHA;0,7000;3;13627,00;10,220
ALPHA;0,7000;4;11917,00;7,078
ALPHA;0,7000;5;11596,00;7,252
ALPHA;0,7000;6;13648,00;7,288
ALPHA;0,7000;7;13188,00;7,232
ALPHA;0,7000;8;12039,00;7,206
ALPHA;0,7000;9;13347,00;7,277
ALPHA;0,7000;10;12628,00;7,098
ALPHA;1,0000;1;11596,00;6,716
ALPHA;1,0000;2;13295,00;6,064
ALPHA;1,0000;3;13484,00;6,073
ALPHA;1,0000;4;13431,00;6,013
ALPHA;1,0000;5;12683,00;6,143
ALPHA;1,0000;6;12649,00;5,948
ALPHA;1,0000;7;12271,00;6,067
ALPHA;1,0000;8;13215,00;6,128
ALPHA;1,0000;9;13489,00;5,956
ALPHA;1,0000;10;13651,00;6,089
ALPHA;1,5000;1;13091,00;6,445
ALPHA;1,5000;2;13141,00;6,012
ALPHA;1,5000;3;12326,00;6,044
ALPHA;1,5000;4;13488,00;5,972
ALPHA;1,5000;5;11043,00;6,146
ALPHA;1,5000;6;12359,00;5,997
ALPHA;1,5000;7;12991,00;6,173
ALPHA;1,5000;8;13338,00;6,591
ALPHA;1,5000;9;12933,00;5,912
ALPHA;1,5000;10;13642,00;6,027
BETA;0,5000;1;12622,00;6,219
BETA;0,5000;2;13615,00;5,675
BETA;0,5000;3;13266,00;5,687
BETA;0,5000;4;13313,00;5,527
BETA;0,5000;5;11592,00;5,613
BETA;0,5000;6;13570,00;5,593
BETA;0,5000;7;12867,00;5,597
BETA;0,5000;8;13179,00;5,962
